piece,num_pieces,positions
K,0,0
K,1,8276519
k,0,0
k,1,8276519
Q,0,2617689
Q,1,5646735
Q,2,11535
Q,3,402
Q,4,139
Q,5,16
Q,6,3
Q,7,0
Q,8,0
Q,9,0
q,0,2635949
q,1,5629481
q,2,10699
q,3,349
q,4,35
q,5,6
q,6,0
q,7,0
q,8,0
q,9,0
R,0,869669
R,1,1597475
R,2,5809089
R,3,263
R,4,12
R,5,11
R,6,0
R,7,0
R,8,0
R,9,0
R,10,0
r,0,886301
r,1,1648908
r,2,5740769
r,3,311
r,4,113
r,5,25
r,6,31
r,7,61
r,8,0
r,9,0
r,10,0
B,0,2239444
B,1,2557148
B,2,3479722
B,3,105
B,4,47
B,5,53
B,6,0
B,7,0
B,8,0
B,9,0
B,10,0
b,0,2121297
b,1,2559900
b,2,3595284
b,3,31
b,4,7
b,5,0
b,6,0
b,7,0
b,8,0
b,9,0
b,10,0
N,0,2433414
N,1,2444347
N,2,3398656
N,3,77
N,4,25
N,5,0
N,6,0
N,7,0
N,8,0
N,9,0
N,10,0
n,0,2546392
n,1,2430123
n,2,3299880
n,3,68
n,4,56
n,5,0
n,6,0
n,7,0
n,8,0
n,9,0
n,10,0
P,0,154991
P,1,185077
P,2,286297
P,3,452927
P,4,684949
P,5,1041739
P,6,1499551
P,7,1955875
P,8,2015113
p,0,150195
p,1,184124
p,2,282192
p,3,449704
p,4,686413
p,5,1030565
p,6,1473946
p,7,1973395
p,8,2045985
