piece,square_index,square_name,count
K,0,a1,18107
K,1,b1,123070
K,2,c1,328795
K,3,d1,81643
K,4,e1,2696927
K,5,f1,140528
K,6,g1,2657775
K,7,h1,295891
K,8,a2,20278
K,9,b2,49558
K,10,c2,71414
K,11,d2,110047
K,12,e2,144001
K,13,f2,163410
K,14,g2,221414
K,15,h2,178646
K,16,a3,13409
K,17,b3,32121
K,18,c3,42694
K,19,d3,62589
K,20,e3,80448
K,21,f3,88200
K,22,g3,90697
K,23,h3,50206
K,24,a4,9429
K,25,b4,18232
K,26,c4,25978
K,27,d4,31805
K,28,e4,38220
K,29,f4,42017
K,30,g4,39057
K,31,h4,22166
K,32,a5,7481
K,33,b5,15645
K,34,c5,17230
K,35,d5,17965
K,36,e5,20283
K,37,f5,22140
K,38,g5,23044
K,39,h5,14249
K,40,a6,5778
K,41,b6,10519
K,42,c6,12153
K,43,d6,11668
K,44,e6,11221
K,45,f6,13790
K,46,g6,14939
K,47,h6,8687
K,48,a7,3630
K,49,b7,6573
K,50,c7,6228
K,51,d7,5598
K,52,e7,5878
K,53,f7,6503
K,54,g7,6935
K,55,h7,4292
K,56,a8,1533
K,57,b8,2312
K,58,c8,2050
K,59,d8,1736
K,60,e8,1711
K,61,f8,1989
K,62,g8,2378
K,63,h8,1609
k,0,a1,1797
k,1,b1,2866
k,2,c1,2141
k,3,d1,2056
k,4,e1,1984
k,5,f1,1987
k,6,g1,2283
k,7,h1,1709
k,8,a2,4766
k,9,b2,7056
k,10,c2,6843
k,11,d2,5879
k,12,e2,6156
k,13,f2,6457
k,14,g2,6817
k,15,h2,3922
k,16,a3,6256
k,17,b3,12733
k,18,c3,12892
k,19,d3,12847
k,20,e3,11807
k,21,f3,13274
k,22,g3,13468
k,23,h3,7556
k,24,a4,8639
k,25,b4,16715
k,26,c4,19643
k,27,d4,19209
k,28,e4,21504
k,29,f4,23364
k,30,g4,23484
k,31,h4,12934
k,32,a5,10499
k,33,b5,19674
k,34,c5,27826
k,35,d5,31810
k,36,e5,37839
k,37,f5,42464
k,38,g5,36055
k,39,h5,21599
k,40,a6,15663
k,41,b6,35508
k,42,c6,47790
k,43,d6,63422
k,44,e6,79178
k,45,f6,92473
k,46,g6,86203
k,47,h6,47780
k,48,a7,20989
k,49,b7,54748
k,50,c7,80428
k,51,d7,130852
k,52,e7,163771
k,53,f7,179151
k,54,g7,246668
k,55,h7,160313
k,56,a8,18346
k,57,b8,114632
k,58,c8,344090
k,59,d8,100757
k,60,e8,2884904
k,61,f8,144305
k,62,g8,2387958
k,63,h8,247780
Q,0,a1,12813
Q,1,b1,16327
Q,2,c1,34784
Q,3,d1,2722325
Q,4,e1,43627
Q,5,f1,20250
Q,6,g1,5771
Q,7,h1,3980
Q,8,a2,7583
Q,9,b2,24825
Q,10,c2,209384
Q,11,d2,241932
Q,12,e2,293158
Q,13,f2,41522
Q,14,g2,23497
Q,15,h2,7434
Q,16,a3,14407
Q,17,b3,109426
Q,18,c3,57531
Q,19,d3,157273
Q,20,e3,88705
Q,21,f3,239391
Q,22,g3,82496
Q,23,h3,30517
Q,24,a4,59915
Q,25,b4,22154
Q,26,c4,48290
Q,27,d4,72922
Q,28,e4,55711
Q,29,f4,47410
Q,30,g4,71108
Q,31,h4,33722
Q,32,a5,15852
Q,33,b5,28861
Q,34,c5,21757
Q,35,d5,43942
Q,36,e5,36879
Q,37,f5,30050
Q,38,g5,31499
Q,39,h5,75250
Q,40,a6,20445
Q,41,b6,13646
Q,42,c6,28850
Q,43,d6,23866
Q,44,e6,29505
Q,45,f6,24642
Q,46,g6,22421
Q,47,h6,30177
Q,48,a7,23811
Q,49,b7,32809
Q,50,c7,22791
Q,51,d7,17995
Q,52,e7,17663
Q,53,f7,26451
Q,54,g7,18554
Q,55,h7,19739
Q,56,a8,19564
Q,57,b8,11730
Q,58,c8,13447
Q,59,d8,16882
Q,60,e8,13779
Q,61,f8,10722
Q,62,g8,10474
Q,63,h8,17422
q,0,a1,18383
q,1,b1,12110
q,2,c1,13503
q,3,d1,15861
q,4,e1,13054
q,5,f1,10185
q,6,g1,9028
q,7,h1,14512
q,8,a2,22258
q,9,b2,35304
q,10,c2,23428
q,11,d2,17340
q,12,e2,15647
q,13,f2,22294
q,14,g2,18152
q,15,h2,15311
q,16,a3,19045
q,17,b3,13077
q,18,c3,28395
q,19,d3,20840
q,20,e3,25163
q,21,f3,21160
q,22,g3,19077
q,23,h3,24816
q,24,a4,15831
q,25,b4,30476
q,26,c4,22526
q,27,d4,42973
q,28,e4,35190
q,29,f4,31367
q,30,g4,28058
q,31,h4,54313
q,32,a5,80520
q,33,b5,22803
q,34,c5,48500
q,35,d5,69742
q,36,e5,56462
q,37,f5,42294
q,38,g5,64086
q,39,h5,29096
q,40,a6,15368
q,41,b6,140504
q,42,c6,60607
q,43,d6,121229
q,44,e6,69091
